128
256
0
   (1,1)        1
   (2,1)        1
  (37,1)        1
  (89,1)        1
 (111,1)        1
   (2,2)        1
   (3,2)        1
  (38,2)        1
  (90,2)        1
 (112,2)        1
   (3,3)        1
   (4,3)        1
  (39,3)        1
  (91,3)        1
 (113,3)        1
   (4,4)        1
   (5,4)        1
  (40,4)        1
  (92,4)        1
 (114,4)        1
   (5,5)        1
   (6,5)        1
  (41,5)        1
  (93,5)        1
 (115,5)        1
   (6,6)        1
   (7,6)        1
  (42,6)        1
  (94,6)        1
 (116,6)        1
   (7,7)        1
   (8,7)        1
  (43,7)        1
  (95,7)        1
 (117,7)        1
   (8,8)        1
   (9,8)        1
  (44,8)        1
  (96,8)        1
 (118,8)        1
   (9,9)        1
  (10,9)        1
  (45,9)        1
  (65,9)        1
 (119,9)        1
  (10,10)       1
  (11,10)       1
  (46,10)       1
  (66,10)       1
 (120,10)       1
  (11,11)       1
  (12,11)       1
  (47,11)       1
  (67,11)       1
 (121,11)       1
  (12,12)       1
  (13,12)       1
  (48,12)       1
  (68,12)       1
 (122,12)       1
  (13,13)       1
  (14,13)       1
  (49,13)       1
  (69,13)       1
 (123,13)       1
  (14,14)       1
  (15,14)       1
  (50,14)       1
  (70,14)       1
 (124,14)       1
  (15,15)       1
  (16,15)       1
  (51,15)       1
  (71,15)       1
 (125,15)       1
  (16,16)       1
  (17,16)       1
  (52,16)       1
  (72,16)       1
 (126,16)       1
  (17,17)       1
  (18,17)       1
  (53,17)       1
  (73,17)       1
 (127,17)       1
  (18,18)       1
  (19,18)       1
  (54,18)       1
  (74,18)       1
 (128,18)       1
  (19,19)       1
  (20,19)       1
  (55,19)       1
  (75,19)       1
  (97,19)       1
  (20,20)       1
  (21,20)       1
  (56,20)       1
  (76,20)       1
  (98,20)       1
  (21,21)       1
  (22,21)       1
  (57,21)       1
  (77,21)       1
  (99,21)       1
  (22,22)       1
  (23,22)       1
  (58,22)       1
  (78,22)       1
 (100,22)       1
  (23,23)       1
  (24,23)       1
  (59,23)       1
  (79,23)       1
 (101,23)       1
  (24,24)       1
  (25,24)       1
  (60,24)       1
  (80,24)       1
 (102,24)       1
  (25,25)       1
  (26,25)       1
  (61,25)       1
  (81,25)       1
 (103,25)       1
  (26,26)       1
  (27,26)       1
  (62,26)       1
  (82,26)       1
 (104,26)       1
  (27,27)       1
  (28,27)       1
  (63,27)       1
  (83,27)       1
 (105,27)       1
  (28,28)       1
  (29,28)       1
  (64,28)       1
  (84,28)       1
 (106,28)       1
  (29,29)       1
  (30,29)       1
  (33,29)       1
  (85,29)       1
 (107,29)       1
  (30,30)       1
  (31,30)       1
  (34,30)       1
  (86,30)       1
 (108,30)       1
  (31,31)       1
  (32,31)       1
  (35,31)       1
  (87,31)       1
 (109,31)       1
   (1,32)       1
  (32,32)       1
  (36,32)       1
  (88,32)       1
 (110,32)       1
  (18,33)       1
  (33,33)       1
  (35,33)       1
  (65,33)       1
  (99,33)       1
  (19,34)       1
  (34,34)       1
  (36,34)       1
  (66,34)       1
 (100,34)       1
  (20,35)       1
  (35,35)       1
  (37,35)       1
  (67,35)       1
 (101,35)       1
  (21,36)       1
  (36,36)       1
  (38,36)       1
  (68,36)       1
 (102,36)       1
  (22,37)       1
  (37,37)       1
  (39,37)       1
  (69,37)       1
 (103,37)       1
  (23,38)       1
  (38,38)       1
  (40,38)       1
  (70,38)       1
 (104,38)       1
  (24,39)       1
  (39,39)       1
  (41,39)       1
  (71,39)       1
 (105,39)       1
  (25,40)       1
  (40,40)       1
  (42,40)       1
  (72,40)       1
 (106,40)       1
  (26,41)       1
  (41,41)       1
  (43,41)       1
  (73,41)       1
 (107,41)       1
  (27,42)       1
  (42,42)       1
  (44,42)       1
  (74,42)       1
 (108,42)       1
  (28,43)       1
  (43,43)       1
  (45,43)       1
  (75,43)       1
 (109,43)       1
  (29,44)       1
  (44,44)       1
  (46,44)       1
  (76,44)       1
 (110,44)       1
  (30,45)       1
  (45,45)       1
  (47,45)       1
  (77,45)       1
 (111,45)       1
  (31,46)       1
  (46,46)       1
  (48,46)       1
