64
128
0
   (1,1)        1
  (10,1)        1
  (27,1)        1
  (45,1)        1
  (49,1)        1
   (2,2)        1
  (11,2)        1
  (28,2)        1
  (46,2)        1
  (50,2)        1
   (3,3)        1
  (12,3)        1
  (29,3)        1
  (47,3)        1
  (51,3)        1
   (4,4)        1
  (13,4)        1
  (30,4)        1
  (48,4)        1
  (52,4)        1
   (5,5)        1
  (14,5)        1
  (31,5)        1
  (33,5)        1
  (53,5)        1
   (6,6)        1
  (15,6)        1
  (32,6)        1
  (34,6)        1
  (54,6)        1
   (7,7)        1
  (16,7)        1
  (17,7)        1
  (35,7)        1
  (55,7)        1
   (1,8)        1
   (8,8)        1
  (18,8)        1
  (36,8)        1
  (56,8)        1
   (2,9)        1
   (9,9)        1
  (19,9)        1
  (37,9)        1
  (57,9)        1
   (3,10)       1
  (10,10)       1
  (20,10)       1
  (38,10)       1
  (58,10)       1
   (4,11)       1
  (11,11)       1
  (21,11)       1
  (39,11)       1
  (59,11)       1
   (5,12)       1
  (12,12)       1
  (22,12)       1
  (40,12)       1
  (60,12)       1
   (6,13)       1
  (13,13)       1
  (23,13)       1
  (41,13)       1
  (61,13)       1
   (7,14)       1
  (14,14)       1
  (24,14)       1
  (42,14)       1
  (62,14)       1
   (8,15)       1
  (15,15)       1
  (25,15)       1
  (43,15)       1
  (63,15)       1
   (9,16)       1
  (16,16)       1
  (26,16)       1
  (44,16)       1
  (64,16)       1
  (15,17)       1
  (17,17)       1
  (18,17)       1
  (48,17)       1
  (64,17)       1
  (16,18)       1
  (18,18)       1
  (19,18)       1
  (33,18)       1
  (49,18)       1
   (1,19)       1
  (19,19)       1
  (20,19)       1
  (34,19)       1
  (50,19)       1
   (2,20)       1
  (20,20)       1
  (21,20)       1
  (35,20)       1
  (51,20)       1
   (3,21)       1
  (21,21)       1
  (22,21)       1
  (36,21)       1
  (52,21)       1
   (4,22)       1
  (22,22)       1
  (23,22)       1
  (37,22)       1
  (53,22)       1
   (5,23)       1
  (23,23)       1
  (24,23)       1
  (38,23)       1
  (54,23)       1
   (6,24)       1
  (24,24)       1
  (25,24)       1
  (39,24)       1
  (55,24)       1
   (7,25)       1
  (25,25)       1
  (26,25)       1
  (40,25)       1
  (56,25)       1
   (8,26)       1
  (26,26)       1
  (27,26)       1
  (41,26)       1
  (57,26)       1
   (9,27)       1
  (27,27)       1
  (28,27)       1
  (42,27)       1
  (58,27)       1
  (10,28)       1
  (28,28)       1
  (29,28)       1
  (43,28)       1
  (59,28)       1
  (11,29)       1
  (29,29)       1
  (30,29)       1
